svtype	szbin	count	reference	merge
UNK	>=5k	0	chm13	truvari
DEL	[0,50)	0	grch38	exact
DEL	[50,100)	34625	grch38	exact
DEL	[100,200)	19324	grch38	exact
DEL	[200,300)	7274	grch38	exact
DEL	[300,400)	6677	grch38	exact
DEL	[400,600)	4057	grch38	exact
DEL	[600,800)	1922	grch38	exact
DEL	[800,1k)	1091	grch38	exact
DEL	[1k,2.5k)	3021	grch38	exact
DEL	[2.5k,5k)	1297	grch38	exact
DEL	>=5k	1077	grch38	exact
INS	[0,50)	0	grch38	exact
INS	[50,100)	68286	grch38	exact
INS	[100,200)	53806	grch38	exact
INS	[200,300)	27077	grch38	exact
INS	[300,400)	38181	grch38	exact
INS	[400,600)	22629	grch38	exact
INS	[600,800)	13505	grch38	exact
INS	[800,1k)	8291	grch38	exact
INS	[1k,2.5k)	21564	grch38	exact
INS	[2.5k,5k)	8839	grch38	exact
INS	>=5k	4658	grch38	exact
DUP	[0,50)	0	grch38	exact
DUP	[50,100)	0	grch38	exact
DUP	[100,200)	0	grch38	exact
DUP	[200,300)	0	grch38	exact
DUP	[300,400)	0	grch38	exact
DUP	[400,600)	0	grch38	exact
DUP	[600,800)	0	grch38	exact
DUP	[800,1k)	0	grch38	exact
DUP	[1k,2.5k)	0	grch38	exact
DUP	[2.5k,5k)	0	grch38	exact
DUP	>=5k	0	grch38	exact
INV	[0,50)	0	grch38	exact
INV	[50,100)	0	grch38	exact
INV	[100,200)	0	grch38	exact
INV	[200,300)	0	grch38	exact
INV	[300,400)	0	grch38	exact
INV	[400,600)	0	grch38	exact
INV	[600,800)	0	grch38	exact
INV	[800,1k)	0	grch38	exact
INV	[1k,2.5k)	0	grch38	exact
INV	[2.5k,5k)	0	grch38	exact
INV	>=5k	0	grch38	exact
NON	[0,50)	0	grch38	exact
NON	[50,100)	0	grch38	exact
NON	[100,200)	0	grch38	exact
NON	[200,300)	0	grch38	exact
NON	[300,400)	0	grch38	exact
NON	[400,600)	0	grch38	exact
NON	[600,800)	0	grch38	exact
NON	[800,1k)	0	grch38	exact
NON	[1k,2.5k)	0	grch38	exact
NON	[2.5k,5k)	0	grch38	exact
NON	>=5k	0	grch38	exact
UNK	[0,50)	0	grch38	exact
UNK	[50,100)	0	grch38	exact
UNK	[100,200)	0	grch38	exact
UNK	[200,300)	0	grch38	exact
UNK	[300,400)	0	grch38	exact
UNK	[400,600)	0	grch38	exact
UNK	[600,800)	0	grch38	exact
UNK	[800,1k)	0	grch38	exact
UNK	[1k,2.5k)	0	grch38	exact
UNK	[2.5k,5k)	0	grch38	exact
UNK	>=5k	0	grch38	exact
DEL	[0,50)	0	grch38	jasmine
DEL	[50,100)	21113	grch38	jasmine
DEL	[100,200)	11323	grch38	jasmine
DEL	[200,300)	4402	grch38	jasmine
DEL	[300,400)	4665	grch38	jasmine
DEL	[400,600)	2470	grch38	jasmine
DEL	[600,800)	1231	grch38	jasmine
DEL	[800,1k)	713	grch38	jasmine
DEL	[1k,2.5k)	2240	grch38	jasmine
DEL	[2.5k,5k)	1149	grch38	jasmine
DEL	>=5k	999	grch38	jasmine
INS	[0,50)	0	grch38	jasmine
INS	[50,100)	27402	grch38	jasmine
INS	[100,200)	16587	grch38	jasmine
INS	[200,300)	7776	grch38	jasmine
INS	[300,400)	11518	grch38	jasmine
INS	[400,600)	5677	grch38	jasmine
INS	[600,800)	2591	grch38	jasmine
INS	[800,1k)	1651	grch38	jasmine
INS	[1k,2.5k)	3908	grch38	jasmine
