Reference	Project	Individual	Path
chm13	eichler	HG03486	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG03486.vcf.gz
chm13	eichler	HG03683	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG03683.vcf.gz
chm13	eichler	HG03732	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/HG03732.vcf.gz
chm13	eichler	NA12329	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA12329.vcf.gz
chm13	eichler	NA18534	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA18534.vcf.gz
chm13	eichler	NA18939	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA18939.vcf.gz
chm13	eichler	NA19238	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA19238.vcf.gz
chm13	eichler	NA19239	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA19239.vcf.gz
chm13	eichler	NA19240	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA19240.vcf.gz
chm13	eichler	NA19650	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA19650.vcf.gz
chm13	eichler	NA19983	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA19983.vcf.gz
chm13	eichler	NA20509	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA20509.vcf.gz
chm13	eichler	NA20847	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/eichler/NA20847.vcf.gz
chm13	li	HG00733	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/li/HG00733.vcf.gz
chm13	li	NA12878	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/li/NA12878.vcf.gz
chm13	li	PGP1	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/li/NA24385.vcf.gz
chm13	li	NA24385	ftp://ftp.hgsc.bcm.edu/Software/Truvari/3.1/sample_vcfs/chm13/li/PGP1.vcf.gz
